Barrio,Comuna
Puerto Madero,Comuna-1
San Telmo,Comuna-1
Constitución,Comuna-1
Retiro,Comuna-1
San Nicolás,Comuna-1
Monserrat,Comuna-1
Recoleta,Comuna-2
San Cristóbal,Comuna-3
Balvanera,Comuna-3
Boca,Comuna-4
Parque Patricios,Comuna-4
Barracas,Comuna-4
Nueva Pompeya,Comuna-4
Almagro,Comuna-5
Boedo,Comuna-5
Caballito,Comuna-6
Flores,Comuna-7
Parque Chacabuco,Comuna-7
Villa Soldati,Comuna-8
Villa Lugano,Comuna-8
Villa Riachuelo,Comuna-8
Parque Avellaneda,Comuna-9
Mataderos,Comuna-9
Liniers,Comuna-9
Villa Real,Comuna-10
Floresta,Comuna-10
Monte Castro,Comuna-10
Versalles,Comuna-10
Vélez Sársfield,Comuna-10
Villa Luro,Comuna-10
Villa General Mitre,Comuna-11
Villa del Parque,Comuna-11
Villa Devoto,Comuna-11
Villa Santa Rita,Comuna-11
Coghlan,Comuna-12
Villa Urquiza,Comuna-12
Saavedra,Comuna-12
Villa Pueyrredón,Comuna-12
Belgrano,Comuna-13
Colegiales,Comuna-13
Nuñez,Comuna-13
Palermo,Comuna-14
Chacarita,Comuna-15
Villa Ortúzar,Comuna-15
Villa Crespo,Comuna-15
Paternal,Comuna-15
Agronomía,Comuna-15
Parque Chas,Comuna-15